,company,brand,category,estb_date,com_type,register_date,asset_2018,debt_2018,equity_2018,sales_2018,opr_2018,ni_2018,asset_2019,debt_2019,equity_2019,sales_2019,opr_2019,ni_2019,asset_2020,debt_2020,equity_2020,sales_2020,opr_2020,ni_2020,emp_임원,emp_직원,emp_total,n_brand,family_com,fran_start_year,total_store_2018, com_own_store_2018, fran_store_2018,total_store_2019, com_own_store_2019, fran_store_2019,total_store_2020, com_own_store_2020, fran_store_2020,new_store_2018, finish_1_store_2018, finish_2_store_2018,new_store_2019, finish_1_store_2019, finish_2_store_2019,new_store_2020, finish_1_store_2020, finish_2_store_2020,sub_hq, adv_fee, sales_fee, fran_type, deposit_fee,violation_1, violation_2, violation_3,fran_fee, traing_fee, deposit, etc_fee, total_fee,interior_fee_per_area, area_criterion, total_interior_fee,contract_term_initial, contract_term_re
5562,(주)주원에프앤비,하바나익스프레스,커피,2014.05.08,법인,2015.01.06,"895,771","355,999","539,772","732,923","85,492","55,129","873,024","322,951","550,073","321,167","-11,309","10,299","854,524","293,756","560,768","177,581","17,988","10,694",1,3,4,1,0,5/8/2014,33,0,33,25,0,25,15,0,15,2,7,0,3,11,0,0,10,0,0,0,0,예치제,"10,700",0,0,0,"5,500","2,200","3,000","68,200","78,900","2,420",33,"24,200",2,2
5593,㈜디저트플러스,차뜨라므,커피,2016.09.09,법인,2017.11.17,"170,582","238,304","-67,722","72,939","-62,661","-69,043","261,381","434,921","-173,540","276,755","-104,332","-105,818","143,273","123,428","19,845","587,844","-100,447","143,385",1,0,1,1,0,8/29/2018,1,1,0,4,3,1,3,2,1,0,0,0,1,0,0,0,0,0,0,"1,856",0,예치제,"20,500",0,0,0,"15,400","1,100","4,000","103,400","123,900","2,567",50,"38,500",2,1
5610,(주)에소코리아,포트오브모카(PortofMocha),커피,2015.02.09,법인,2012.04.05,"208,153","56,109","152,044","1,153,608","46,576","41,372","333,284","158,465","174,819","938,968","42,466","22,775","255,247","311,239","-55,992","655,534","-241,990","-230,810",3,4,7,1,0,4/3/2011,34,0,34,31,0,31,28,0,28,8,3,0,0,3,0,2,5,0,0,"2,743",0,예치제,"12,900",0,0,0,"6,600","3,300","3,000","40,370","53,270","1,815",26,"14,520",3,2
5612,펩코코리아(주),SmithBarney,커피,2010.07.30,법인,2018.08.06,"534,102","162,789","371,313","2,432,251","-17,246","-44,404","637,190","212,486","424,704","2,243,491","13,193","53,391","706,009","224,837","481,172","2,237,958","46,062","56,467",2,16,18,1,0,9/1/2018,1,1,0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"101,463",0,예치제,"13,550",0,0,0,"8,250","3,300","2,000","34,650","48,200","2,200",33,"22,000",3,2
5627,(주)라벨스하이디,라벨스하이디,커피,2017.04.10,법인,2018.01.09,"297,107","86,517","210,590","48,733","-88,767","-87,138","310,895","184,828","126,067","389,728","-87,344","-84,524","203,359","289,862","-86,503","162,298","-211,213","-212,569",2,1,3,1,0,3/17/2018,0,0,0,9,0,9,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,예치제,"12,000",0,0,0,"7,700","3,300","1,000","102,080","114,080","1,980",83,"49,500",2,1
5687,(주)지제이케이홀딩스,록시드갸토(LOXIDGATEAU),커피,2016.04.15,법인,2020.05.16,"366,620","319,104","47,516","504,466","16,796","13,830","449,147","377,543","71,604","1,637,364","38,236","24,087","1,128,131","849,213","278,918","1,622,872","147,729","118,524",2,3,5,2,0,10/4/2018,0,0,0,2,0,2,13,0,13,0,0,0,2,0,0,11,0,0,0,0,0,예치제,"21,500",0,0,0,"11,000","5,500","5,000","59,950","81,450","2,200",33,"22,000",2,1
5724,(주)도노텀블,도노텀블,커피,2015.12.01,법인,2016.02.26,"246,082","190,781","55,301","480,153","41,440","37,152","306,409","57,486","248,923","474,495","-1,462","2,185","409,620","63,202","346,418","511,109","10,085","5,716",4,3,7,1,1,12/1/2015,11,0,11,11,0,11,16,0,16,3,0,2,4,0,4,6,0,2,0,0,0,예치제,"12,700",0,0,0,"5,500","2,200","5,000","53,570","66,270","1,980",33,"19,800",2,1
5733,(주)해리스,해리스카페,커피,2009.10.14,법인,2012.08.21,"1,353,128","1,226,146","126,982","1,164,611","30,431","22,852","1,511,104","1,369,663","141,441","1,449,640",-819,"14,458","1,408,007","1,220,480","187,527","895,168","-138,663","-103,913",2,7,9,1,0,2/1/2010,35,5,30,26,2,24,23,1,22,5,4,0,3,6,3,2,3,1,0,256,0,예치제,"16,000",0,0,0,"7,700","3,300","5,000","104,500","120,500","2,200",99,"66,000",3,2
5746,(주)에스에이치리테일,슈퍼사이즈커피,커피,2006.03.06,법인,2014.09.30,"1,249,267","1,457,786","-208,519","3,704,149","71,664","44,234","1,395,463","1,446,514","-51,051","3,682,565","88,128","157,467","1,315,191","1,354,979","-39,788","3,047,551","-73,882","11,263",1,42,43,1,0,10/8/2014,22,3,19,17,3,14,16,3,13,5,0,2,1,1,5,0,0,1,0,"139,172","3,018",예치제,"10,800",0,0,0,"5,500","3,300","2,000","35,610","46,410","1,980",20,"11,880",2,1
5813,에이피씨(주),아필코(APILCO),커피,2017.09.08,법인,2017.11.15,"19,580",0,"19,580",0,-420,-420,"31,709","4,544","27,165","45,447","7,585","7,585","75,605","2,467","73,138","195,585","45,972","45,972",2,5,7,1,0,9/8/2017,1,0,1,2,0,2,4,0,4,1,0,0,1,0,0,2,0,0,0,0,0,보험,"43,500",0,0,0,"33,000","5,500","5,000","192,500","236,000","2,200",165,"110,000",2,1
