id,name,sic,sic_adj,fran,nbran,dome,year,gta,gts,roa,roe,opr,nir,deratio,icr,ncratio,nclratio,cratio,qratio,cashratio,tat,set,ncat,ivt,eff_inv,eff_wquip,opersurp,laborcost,finexp,dep,roa_roa,roa_nir,roa_tat,roe_roe,roe_nir,roe_tat,roe_drl,opercf,invcf,fincf,dcl,dol,dfl
2021_55,(주)하남에프앤비,56113,1,1,1,2,2020,77.88,-25.37,-1.03,-1.92,0.65,-1.09,140.7,3.48,184.83,87.03,197.3,195.54,10.73,0.95,1.77,1.48,290.83,13.84,19.76,131.923,1940.67,-36.96,451.87,-1.03,-1.09,0.95,-1.92,-1.09,0.95,2.407046522,786,-9564,8408,-26.87763216,44.69112,-0.601408785
2021_56,(주)한국일오삼,56193,7,1,2,1,2020,39.75,13.28,11.82,16.87,16.68,8.69,40.3,39.05,67.55,66.17,190.37,188.88,120.23,1.36,1.94,2.26,365.38,20.54,235.79,15334.048,4912.96,-245.69,227.57,11.82,8.69,1.36,16.87,8.69,1.36,1.403036128,8886,-3435,14934,3.04956985,1.589165735,1.918975336
2021_57,(주)한솥,56111,1,1,1,1,2020,17.91,4.83,13.68,17.93,9.37,7.22,32.05,,31.75,29.68,400.46,398,355.88,1.89,2.48,7.08,130.22,20.96,28316.33,9673.942,2370.01,-350.01,112.23,13.68,7.22,1.89,17.93,7.22,1.89,1.320459439,11050,2289,-1260,2.227168415,1.717919822,1.296433271
2021_58,(주)한일관,56111,1,1,1,1,2020,-5.04,-28.82,0.38,2,0.93,0.14,413.03,,306.75,99.14,101.3,88.16,42.64,2.61,13.9,4.71,83.05,115.53,539.67,133.007,4323.68,-2.56,291.7,0.38,0.14,2.61,2,0.14,2.61,5.13034472,-268,-788,0,694.2676015,107.7962391,6.440554952
2021_59,(주)한화비앤비,56221,10,1,1,1,2020,-43,-45.17,-25.38,-44.4,-34.43,-39.35,64.01,-32.89,66.08,45.97,483.12,475.29,22.26,0.64,1.13,1.49,70.8,8.31,33.16,-2845.039,1737.6,34.1,995.68,-25.38,-39.35,0.64,-44.4,-39.35,0.64,1.640101833,-1766,1179,-687,-0.407062882,-0.465240975,0.874950625
2021_60,(주)할리스에프앤비,56221,10,1,2,1,2020,-19.4,-14.76,-0.69,-1.53,2.61,-0.85,120.13,1.21,183.34,108.26,72.46,56.63,15.34,0.81,1.8,0.98,29.43,26.64,130.71,1731.969,11083.82,2007.3,29009.82,-0.69,-0.85,0.81,-1.53,-0.85,0.81,2.201266739,26119,2704,-37486,-24.20327312,7.904465565,-3.061974642
2021_61,(주)핫시즈너,56194,8,1,1,1,2020,6.49,-3.47,-0.53,-1.08,0.24,-0.46,110.94,0.32,182.22,169,27.85,26.42,18.17,1.17,2.37,1.39,192.15,18.68,23.73,-12.179,6643.31,421.32,2064.3,-0.53,-0.46,1.17,-1.08,-0.46,1.17,2.109368042,5062,-4998,0,-66.04881459,124.3128378,-0.531311293
2021_62,(주)혜인식품,56300,11,1,2,1,2020,10.48,5.7,9.03,9.7,26.46,20.97,7.7,,28,27.89,1090.63,1081.01,106.73,0.43,0.46,1.94,66.41,11.29,83.04,16554.45,1147.77,-1772.15,318.2,9.03,20.97,0.43,9.7,20.97,0.43,1.077009237,12399,-19909,0,2.07045264,1.641339131,1.2614411
2021_63,(주)후니에프앤비,56111,1,1,1,1,2020,-1.62,-24.5,3.87,5.31,2.03,2.21,32.65,18.97,44.17,40.51,374.78,360.96,211.48,1.75,2.4,6.06,118.33,61.45,574.15,258.278,2464.42,3.68,244.85,3.87,2.21,1.75,5.31,2.21,1.75,1.326502723,415,-865,0,17.84683581,19.46523107,0.916857126
2021_64,CJ푸드빌주식회사,56300,11,1,2,1,2020,-16.19,-31.28,6.53,50.95,-8.66,6.64,686.16,-4.03,532.62,144.77,60.62,54.91,29.58,0.98,7.68,1.37,30.75,47.42,275.31,-57958.627,106914.92,9528.73,56415.31,6.53,6.64,0.98,50.95,6.64,0.98,7.861618385,9009,125127,-92948,6.34392803,-4.863554015,-1.304381119
2021_65,갓파크리에이트코리아주식회사,56113,1,2,1,2,2020,-6.19,-17.6,-9.01,0,-3.78,-5.61,0,-1.99,0,0,15.67,13.65,9.46,1.61,0,1.87,76.42,83.6,198.33,-714.407,4184.97,238,505.05,-9.01,-5.61,1.61,0,-5.61,1.61,-20.99091386,-491,-45,700,-11.83486261,-17.56276251,0.673861108
2021_66,꿈꾸는이상(주),56113,1,1,2,1,2020,81.23,-22.38,1.31,5.28,5.94,2.26,406.2,2.14,473.3,103.23,68.96,53.82,36.37,0.58,2.33,0.65,32.35,21.91,29.93,472.53,4347.64,389.13,871.62,1.31,2.26,0.58,5.28,2.26,0.58,5.062010549,3058,-16720,12374,28.01916768,10.6759708,2.624507711
2021_67,뚜쥬루개발(주),56191,5,2,1,1,2020,1.82,16.46,5.68,24.33,9.98,9.28,285.69,6.05,343.82,194.48,20.04,19.63,5.55,0.61,2.62,0.66,253.85,14.57,16.71,638.276,73.28,120.69,839.16,5.68,9.28,0.61,24.33,9.28,0.61,3.856937431,1708,-769,-702,1.642716791,1.528090065,1.075013069
2021_68,로쏘주식회사,56191,5,2,2,1,2020,-0.87,-8.07,4.2,4.84,12.67,4.53,12.67,1335.8,34.81,34.81,614.3,601.67,25.55,0.93,1.07,3.23,69.77,28.38,124.39,6656.451,9842.47,-467.78,1323.48,4.2,4.53,0.93,4.84,4.53,0.93,1.126746733,2887,613,-3200,9.282555341,3.315251045,2.799955483
2021_69,롯데지알에스주식회사,56300,11,1,2,1,2020,2.39,-18.67,-4.04,-14.01,-2.85,-4.9,276.22,-1.42,233.83,107.8,89.38,85.24,6.98,0.83,2.86,1.28,47.18,28.37,344.31,-27940.634,172550.78,8451.9,84592.84,-4.04,-4.9,0.83,-14.01,-4.9,0.83,3.762205922,68684,-86451,41838,-10.6275085,-18.23694772,0.582746009
2021_70,리치푸드(주),56219,9,1,2,1,2020,-7.5,-32.73,0.87,1,-1.34,2.34,9.54,-8.37,90.43,88.25,270.17,254.23,10.55,0.37,0.43,0.7,33.13,8.56,14.29,-53.991,1538.97,-56.56,238.38,0.87,2.34,0.37,1,2.34,0.37,1.095400582,-1568,1317,206,12.01259582,-20.99100058,-0.572273617
2021_71,본아이에프주식회사,56111,1,1,2,1,2020,-8.21,-8.26,0.69,2.62,2.37,0.34,395.85,5.72,457.16,376.39,10.33,10.27,1.57,2.03,7.72,2.25,577.99,20.98,34.6,3903.573,14247.8,729.51,2221.11,0.69,0.34,2.03,2.62,0.34,2.03,4.958482623,12926,-403,-14166,61.24830623,8.745208527,7.003641599
